instrument_name,option_type,underlying_price_S,strike_K,time_to_maturity_T,risk_free_rate_r,option_price_V,implied_vol
BTC-8JUN26-60000-C,call,62901.03,60000.0,0.001,0.045,2924.897895,0.8179134810254531
BTC-8JUN26-60500-C,call,62910.77,60500.0,0.001,0.045,2422.064645,0.6017404689345789
BTC-8JUN26-61000-C,call,62908.37,61000.0,0.001,0.045,1934.4323775,0.588323399571589
BTC-8JUN26-61000-P,put,62908.37,61000.0,0.001,0.045,9.4362555,0.4997128185331114
BTC-8JUN26-61500-C,call,62908.37,61500.0,0.001,0.045,1446.8925100000001,0.5083302015526625
BTC-8JUN26-61500-P,put,62908.38,61500.0,0.001,0.045,18.872514,0.44077937452104626
BTC-8JUN26-62000-C,call,62908.61,62000.0,0.001,0.045,975.083455,0.4350741304667542
BTC-8JUN26-62000-P,put,62908.61,62000.0,0.001,0.045,34.5997355,0.3627751690990277
BTC-8JUN26-62500-C,call,62909.52,62500.0,0.001,0.045,503.27616,0.3079301963724843
BTC-8JUN26-62500-P,put,62910.66,62500.0,0.001,0.045,100.6570559999937,0.3236468096649322
BTC-8JUN26-63000-C,call,62911.56,63000.0,0.001,0.045,173.00679,0.2682901595639196
BTC-8JUN26-63000-P,put,62911.56,63000.0,0.001,0.045,261.082974,0.2714413557875562
BTC-8JUN26-63500-C,call,62920.43,63500.0,0.001,0.045,34.606236499993706,0.25912784508804954
BTC-8JUN26-63500-P,put,62922.53,63500.0,0.001,0.045,644.9559324999937,0.3309478731390251
BTC-8JUN26-64000-C,call,62921.63,64000.0,0.001,0.045,15.7304075,0.3354502826014526
BTC-8JUN26-64500-P,put,62921.1,64500.0,0.001,0.045,1997.744925,1.2720564730510324
BTC-8JUN26-65500-P,put,62921.24,65500.0,0.001,0.045,2658.42239,0.9537210322882567
BTC-9JUN26-58500-C,call,62962.21,58500.0,0.0031481430349124,0.045,4533.279119999999,0.814704095069398
BTC-9JUN26-58500-P,put,62962.21,58500.0,0.0031481430349124,0.045,110.1838675,0.9239584901793791
BTC-9JUN26-59000-C,call,62965.13,59000.0,0.0031481430349124,0.045,4061.250885,0.7967432700554095
BTC-9JUN26-59000-P,put,62969.81,59000.0,0.0031481430349124,0.045,138.5335819999937,0.893440610966494
BTC-9JUN26-59500-C,call,62965.16,59500.0,0.0031481430349124,0.045,3589.014119999994,0.7673437524940349
BTC-9JUN26-59500-P,put,62965.16,59500.0,0.0031481430349124,0.045,176.302448,0.8633973480053823
BTC-9JUN26-60000-C,call,62965.35,60000.0,0.0031481430349124,0.045,3164.0088375,0.7901208537809242
BTC-9JUN26-60000-P,put,62964.66,60000.0,0.0031481430349124,0.045,223.52454300000002,0.832672511710928
BTC-9JUN26-60500-C,call,62966.06,60500.0,0.0031481430349124,0.045,2723.2820949999996,0.7637236369968219
BTC-9JUN26-60500-P,put,62969.11,60500.0,0.0031481430349124,0.045,280.2125395,0.7990464859916171
BTC-9JUN26-61000-C,call,62969.97,61000.0,0.0031481430349124,0.045,2314.1463974999997,0.7486570568728643
BTC-9JUN26-61000-P,put,62978.26,61000.0,0.0031481430349124,0.045,362.124995,0.7757659247245622
BTC-9JUN26-61500-C,call,62969.1,61500.0,0.0031481430349124,0.045,1904.815275,0.7153982988757287
BTC-9JUN26-61500-P,put,62967.36,61500.0,0.0031481430349124,0.045,440.77151999999376,0.7267381588663153
BTC-9JUN26-62000-C,call,62967.36,62000.0,0.0031481430349124,0.045,1526.95848,0.6872401485506262
BTC-9JUN26-62000-P,put,62967.28,62000.0,0.0031481430349124,0.045,582.4473399999999,0.7117078646310422
BTC-9JUN26-62500-C,call,62961.62,62500.0,0.0031481430349124,0.045,1180.530375,0.6597987198939477
BTC-9JUN26-62500-P,put,62963.76,62500.0,0.0031481430349124,0.045,724.08324,0.6706373519515855
BTC-9JUN26-63000-C,call,62964.96,63000.0,0.0031481430349124,0.045,881.50944,0.6345709813621154
BTC-9JUN26-63000-P,put,62969.3,63000.0,0.0031481430349124,0.045,913.0548499999937,0.6399542140211908
BTC-9JUN26-63500-C,call,62968.86,63500.0,0.0031481430349124,0.045,613.946385,0.6003196883719693
BTC-9JUN26-63500-P,put,62960.75,63500.0,0.0031481430349124,0.045,1164.7738749999999,0.6177185694320076
BTC-9JUN26-64000-C,call,62957.61,64000.0,0.0031481430349124,0.045,409.224465,0.5806815386384244
BTC-9JUN26-64000-P,put,62935.62,64000.0,0.0031481430349124,0.045,1541.92269,0.6473548288624594
BTC-9JUN26-64500-C,call,62937.27,64500.0,0.0031481430349124,0.045,264.336534,0.5726303543399675
BTC-9JUN26-64500-P,put,62933.55,64500.0,0.0031481430349124,0.045,2190.08754,0.8846653512106853
BTC-9JUN26-65000-C,call,62933.55,65000.0,0.0031481430349124,0.045,157.333875,0.5568703401953068
BTC-9JUN26-65500-C,call,62931.97,65500.0,0.0031481430349124,0.045,88.104758,0.5439619303927101
BTC-9JUN26-66000-C,call,62932.29,66000.0,0.0031481430349124,0.045,56.639061,0.5571155846627517
BTC-9JUN26-67000-C,call,62949.58,67000.0,0.0031481430349124,0.045,18.884874,0.5629863852252853
BTC-9JUN26-68000-C,call,62953.68,68000.0,0.0031481430349124,0.045,9.443052,0.6093872913170046
BTC-9JUN26-68000-P,put,62951.65,68000.0,0.0031481430349124,0.045,5099.0836500000005,0.8246351326405414
BTC-10JUN26-57000-P,put,62924.34,57000.0,0.0058878690623097,0.045,141.57976499999998,0.9023365615428736
BTC-10JUN26-58000-C,call,62929.81,58000.0,0.0058878690623097,0.045,5128.779515,0.8335335667821588
BTC-10JUN26-58000-P,put,62930.97,58000.0,0.0058878690623097,0.045,204.5256525,0.8587307838315413
BTC-10JUN26-58500-P,put,62935.23,58500.0,0.0058878690623097,0.045,245.447397,0.8366033859927007
BTC-10JUN26-59000-P,put,62938.33,59000.0,0.0058878690623097,0.045,292.6632345,0.8125457192456683
BTC-10JUN26-59500-C,call,62938.89,59500.0,0.0058878690623097,0.045,4799.0903625,1.4587392354919635
BTC-10JUN26-59500-P,put,62943.24,59500.0,0.0058878690623097,0.045,346.18782,0.7861867537371753
BTC-10JUN26-60000-C,call,62944.29,60000.0,0.0058878690623097,0.045,4358.8920825000005,1.3916864536869287
BTC-10JUN26-60000-P,put,62943.81,60000.0,0.0058878690623097,0.045,424.87071749999996,0.7700808761641643
BTC-10JUN26-60500-C,call,62945.58,60500.0,0.0058878690623097,0.045,2942.705865,0.728278926230788
BTC-10JUN26-60500-P,put,62945.45,60500.0,0.0058878690623097,0.045,503.5636,0.7435296896471585
BTC-10JUN26-61000-C,call,62939.85,61000.0,0.0058878690623097,0.045,2549.063925,0.7128876524166622
BTC-10JUN26-61000-P,put,62940.9,61000.0,0.0058878690623097,0.045,597.93855,0.7161076685616582
BTC-10JUN26-61500-C,call,62948.88,61500.0,0.0058878690623097,0.045,2155.99914,0.6792967643857873
BTC-10JUN26-61500-P,put,62940.56,61500.0,0.0058878690623097,0.045,723.81644,0.6968904511896967
BTC-10JUN26-62000-C,call,62940.2,62000.0,0.0058878690623097,0.045,1825.2657999999938,0.6752461004232064
BTC-10JUN26-62000-P,put,62939.23,62000.0,0.0058878690623097,0.045,881.14922,0.6818809406349025
BTC-10JUN26-62500-C,call,62939.02,62500.0,0.0058878690623097,0.045,1494.801725,0.6532256277537615
BTC-10JUN26-62500-P,put,62936.98,62500.0,0.0058878690623097,0.045,1069.92866,0.6689243313675448
BTC-10JUN26-63000-C,call,62937.99,63000.0,0.0058878690623097,0.045,1195.82181,0.6322014845994779
BTC-10JUN26-63000-P,put,62941.23,63000.0,0.0058878690623097,0.045,1258.8246000000001,0.6422136789734381
BTC-10JUN26-63500-C,call,62946.46,63500.0,0.0058878690623097,0.045,944.1968999999999,0.6167662108113934
BTC-10JUN26-63500-P,put,62946.85,63500.0,0.0058878690623097,0.045,1510.7244,0.6325337769771389
BTC-10JUN26-64000-C,call,62949.01,64000.0,0.0058878690623097,0.045,723.913615,0.6017129133785212
BTC-10JUN26-64000-P,put,62949.01,64000.0,0.0058878690623097,0.045,1794.0467849999939,0.6214538780374365
BTC-10JUN26-64500-C,call,62947.78,64500.0,0.0058878690623097,0.045,535.05613,0.5857228538287278
BTC-10JUN26-64500-P,put,62944.42,64500.0,0.0058878690623097,0.045,2155.8463850000003,0.6345454433262379
BTC-10JUN26-65000-C,call,62944.42,65000.0,0.0058878690623097,0.045,393.402625,0.5785167347924615
BTC-10JUN26-65000-P,put,62944.52,65000.0,0.0058878690623097,0.045,2407.6278899999998,0.5624946246336899
BTC-10JUN26-66000-C,call,62944.52,66000.0,0.0058878690623097,0.045,188.83356,0.5578570186884044
BTC-10JUN26-67000-C,call,62942.0,67000.0,0.0058878690623097,0.045,84.9717,0.5497428209230687
BTC-10JUN26-68000-C,call,62942.16,68000.0,0.0058878690623097,0.045,37.765296,0.5520704698906941
BTC-10JUN26-69000-C,call,62943.04,69000.0,0.0058878690623097,0.045,18.882911999999997,0.5698375526882872
BTC-11JUN26-56000-P,put,62949.23,56000.0,0.008627595089707,0.045,166.8154595,0.8832858037328823
BTC-11JUN26-57000-P,put,62945.87,57000.0,0.008627595089707,0.045,223.4578385,0.8400815467492189
BTC-11JUN26-58000-C,call,62941.7,58000.0,0.008627595089707,0.045,6121.080325,1.3451469396413216
BTC-11JUN26-58000-P,put,62945.31,58000.0,0.008627595089707,0.045,302.13748799999996,0.7984317154255836
BTC-11JUN26-59000-C,call,62945.31,59000.0,0.008627595089707,0.045,5271.669712499993,1.2673908491550205
BTC-11JUN26-59000-P,put,62951.41,59000.0,0.008627595089707,0.045,409.184165,0.757200176814473
BTC-11JUN26-60000-C,call,62952.46,60000.0,0.008627595089707,0.045,4438.148429999999,1.1830903122363932
BTC-11JUN26-60000-P,put,62952.99,60000.0,0.008627595089707,0.045,566.5769099999999,0.7218795481228392
BTC-11JUN26-60500-C,call,62953.04,60500.0,0.008627595089707,0.045,3100.4372200000003,0.6820183481080966
BTC-11JUN26-60500-P,put,62949.58,60500.0,0.008627595089707,0.045,660.9705899999938,0.7012536705308499
BTC-11JUN26-61000-C,call,62943.25,61000.0,0.008627595089707,0.045,2706.55975,0.6646455685160938
BTC-11JUN26-61000-P,put,62942.25,61000.0,0.008627595089707,0.045,771.0425625,0.6800762438797896
BTC-11JUN26-61500-C,call,62941.78,61500.0,0.008627595089707,0.045,2360.31675,0.6578282138379625
BTC-11JUN26-61500-P,put,62941.08,61500.0,0.008627595089707,0.045,912.6456599999938,0.666116006315453
BTC-11JUN26-62000-C,call,62939.19,62000.0,0.008627595089707,0.045,1998.3192825,0.6338006668105037
