instrument_name,option_type,underlying_price_S,strike_K,time_to_maturity_T,risk_free_rate_r,option_price_V
BTC-8JUN26-54000-C,call,62909.9,54000.0,0.001,0.045,0.13924999999999998
BTC-8JUN26-55000-C,call,62909.67,55000.0,0.001,0.045,0.1135
BTC-8JUN26-56000-C,call,62908.84,56000.0,0.001,0.045,0.10500000000000001
BTC-8JUN26-57000-C,call,62908.4,57000.0,0.001,0.045,0.0935
BTC-8JUN26-58000-C,call,62902.09,58000.0,0.001,0.045,0.07150000000000001
BTC-8JUN26-58500-C,call,62903.47,58500.0,0.001,0.045,0.065
BTC-8JUN26-59000-C,call,62905.72,59000.0,0.001,0.045,0.049
BTC-8JUN26-59500-C,call,62903.71,59500.0,0.001,0.045,0.040749999999999995
BTC-8JUN26-60000-C,call,62901.03,60000.0,0.001,0.045,0.0465
BTC-8JUN26-60500-C,call,62910.77,60500.0,0.001,0.045,0.0385
BTC-8JUN26-61000-C,call,62908.37,61000.0,0.001,0.045,0.03075
BTC-8JUN26-61000-P,put,62908.37,61000.0,0.001,0.045,0.00015000000000000001
BTC-8JUN26-61500-C,call,62908.37,61500.0,0.001,0.045,0.023
BTC-8JUN26-61500-P,put,62908.38,61500.0,0.001,0.045,0.00030000000000000003
BTC-8JUN26-62000-C,call,62908.61,62000.0,0.001,0.045,0.0155
BTC-8JUN26-62000-P,put,62908.61,62000.0,0.001,0.045,0.00055
BTC-8JUN26-62500-C,call,62909.52,62500.0,0.001,0.045,0.008
BTC-8JUN26-62500-P,put,62910.66,62500.0,0.001,0.045,0.0015999999999999999
BTC-8JUN26-63000-C,call,62911.56,63000.0,0.001,0.045,0.00275
BTC-8JUN26-63000-P,put,62911.56,63000.0,0.001,0.045,0.00415
BTC-8JUN26-63500-C,call,62920.43,63500.0,0.001,0.045,0.0005499999999999999
BTC-8JUN26-63500-P,put,62922.53,63500.0,0.001,0.045,0.010249999999999999
BTC-8JUN26-64000-C,call,62921.63,64000.0,0.001,0.045,0.00025
BTC-8JUN26-64000-P,put,62921.18,64000.0,0.001,0.045,0.017
BTC-8JUN26-64500-P,put,62921.1,64500.0,0.001,0.045,0.03175
BTC-8JUN26-65000-P,put,62920.86,65000.0,0.001,0.045,0.04225
BTC-8JUN26-65500-P,put,62921.24,65500.0,0.001,0.045,0.04225
BTC-8JUN26-66000-P,put,62924.7,66000.0,0.001,0.045,0.05025
BTC-8JUN26-67000-P,put,62925.47,67000.0,0.001,0.045,0.0805
BTC-8JUN26-68000-P,put,62926.94,68000.0,0.001,0.045,0.09525
BTC-8JUN26-69000-P,put,62929.68,69000.0,0.001,0.045,0.11225
BTC-8JUN26-70000-P,put,62932.84,70000.0,0.001,0.045,0.127
BTC-8JUN26-71000-P,put,62934.51,71000.0,0.001,0.045,0.14475
BTC-9JUN26-53000-C,call,62935.99,53000.0,0.003148143034912481,0.045,0.17025
BTC-9JUN26-54000-C,call,62940.18,54000.0,0.003148143034912481,0.045,0.155
BTC-9JUN26-54000-P,put,62943.64,54000.0,0.003148143034912481,0.045,0.00019999999999999998
BTC-9JUN26-55000-C,call,62945.17,55000.0,0.003148143034912481,0.045,0.127
BTC-9JUN26-55000-P,put,62945.17,55000.0,0.003148143034912481,0.045,0.00035
BTC-9JUN26-56000-C,call,62946.95,56000.0,0.003148143034912481,0.045,0.123
BTC-9JUN26-56000-P,put,62951.16,56000.0,0.003148143034912481,0.045,0.0005
BTC-9JUN26-57000-C,call,62946.95,57000.0,0.003148143034912481,0.045,0.10875
BTC-9JUN26-57000-P,put,62953.31,57000.0,0.003148143034912481,0.045,0.0007999999999999999
BTC-9JUN26-58000-C,call,62953.31,58000.0,0.003148143034912481,0.045,0.09375
BTC-9JUN26-58000-P,put,62959.31,58000.0,0.003148143034912481,0.045,0.00135
BTC-9JUN26-58500-C,call,62962.21,58500.0,0.003148143034912481,0.045,0.07200000000000001
BTC-9JUN26-58500-P,put,62962.21,58500.0,0.003148143034912481,0.045,0.00175
BTC-9JUN26-59000-C,call,62965.13,59000.0,0.003148143034912481,0.045,0.0645
BTC-9JUN26-59000-P,put,62969.81,59000.0,0.003148143034912481,0.045,0.0021999999999999997
BTC-9JUN26-59500-C,call,62965.16,59500.0,0.003148143034912481,0.045,0.056999999999999995
BTC-9JUN26-59500-P,put,62965.16,59500.0,0.003148143034912481,0.045,0.0028
BTC-9JUN26-60000-C,call,62965.35,60000.0,0.003148143034912481,0.045,0.05025
BTC-9JUN26-60000-P,put,62964.66,60000.0,0.003148143034912481,0.045,0.00355
BTC-9JUN26-60500-C,call,62966.06,60500.0,0.003148143034912481,0.045,0.04325
BTC-9JUN26-60500-P,put,62969.11,60500.0,0.003148143034912481,0.045,0.00445
BTC-9JUN26-61000-C,call,62969.97,61000.0,0.003148143034912481,0.045,0.03675
BTC-9JUN26-61000-P,put,62978.26,61000.0,0.003148143034912481,0.045,0.00575
BTC-9JUN26-61500-C,call,62969.1,61500.0,0.003148143034912481,0.045,0.03025
BTC-9JUN26-61500-P,put,62967.36,61500.0,0.003148143034912481,0.045,0.006999999999999999
BTC-9JUN26-62000-C,call,62967.36,62000.0,0.003148143034912481,0.045,0.02425
BTC-9JUN26-62000-P,put,62967.28,62000.0,0.003148143034912481,0.045,0.00925
BTC-9JUN26-62500-C,call,62961.62,62500.0,0.003148143034912481,0.045,0.01875
BTC-9JUN26-62500-P,put,62963.76,62500.0,0.003148143034912481,0.045,0.0115
BTC-9JUN26-63000-C,call,62964.96,63000.0,0.003148143034912481,0.045,0.014
BTC-9JUN26-63000-P,put,62969.3,63000.0,0.003148143034912481,0.045,0.014499999999999999
BTC-9JUN26-63500-C,call,62968.86,63500.0,0.003148143034912481,0.045,0.00975
BTC-9JUN26-63500-P,put,62960.75,63500.0,0.003148143034912481,0.045,0.0185
BTC-9JUN26-64000-C,call,62957.61,64000.0,0.003148143034912481,0.045,0.006500000000000001
BTC-9JUN26-64000-P,put,62935.62,64000.0,0.003148143034912481,0.045,0.0245
BTC-9JUN26-64500-C,call,62937.27,64500.0,0.003148143034912481,0.045,0.0042
BTC-9JUN26-64500-P,put,62933.55,64500.0,0.003148143034912481,0.045,0.034800000000000005
BTC-9JUN26-65000-C,call,62933.55,65000.0,0.003148143034912481,0.045,0.0025
BTC-9JUN26-65000-P,put,62932.23,65000.0,0.003148143034912481,0.045,0.027999999999999997
BTC-9JUN26-65500-C,call,62931.97,65500.0,0.003148143034912481,0.045,0.0014
BTC-9JUN26-65500-P,put,62931.76,65500.0,0.003148143034912481,0.045,0.039
BTC-9JUN26-66000-C,call,62932.29,66000.0,0.003148143034912481,0.045,0.0009
BTC-9JUN26-66000-P,put,62933.57,66000.0,0.003148143034912481,0.045,0.03875
BTC-9JUN26-67000-C,call,62949.58,67000.0,0.003148143034912481,0.045,0.00030000000000000003
BTC-9JUN26-67000-P,put,62954.28,67000.0,0.003148143034912481,0.045,0.0585
BTC-9JUN26-68000-C,call,62953.68,68000.0,0.003148143034912481,0.045,0.00015000000000000001
BTC-9JUN26-68000-P,put,62951.65,68000.0,0.003148143034912481,0.045,0.081
BTC-9JUN26-69000-P,put,62934.38,69000.0,0.003148143034912481,0.045,0.0875
BTC-9JUN26-70000-P,put,62927.1,70000.0,0.003148143034912481,0.045,0.11324999999999999
BTC-10JUN26-54000-C,call,62926.75,54000.0,0.005887869062309741,0.045,0.14225
BTC-10JUN26-54000-P,put,62925.59,54000.0,0.005887869062309741,0.045,0.0007999999999999999
BTC-10JUN26-55000-C,call,62925.37,55000.0,0.005887869062309741,0.045,0.1405
BTC-10JUN26-55000-P,put,62922.8,55000.0,0.005887869062309741,0.045,0.0010999999999999998
BTC-10JUN26-56000-C,call,62921.97,56000.0,0.005887869062309741,0.045,0.11149999999999999
BTC-10JUN26-56000-P,put,62916.2,56000.0,0.005887869062309741,0.045,0.0015999999999999999
BTC-10JUN26-57000-C,call,62922.0,57000.0,0.005887869062309741,0.045,0.112
BTC-10JUN26-57000-P,put,62924.34,57000.0,0.005887869062309741,0.045,0.00225
BTC-10JUN26-58000-C,call,62929.81,58000.0,0.005887869062309741,0.045,0.0815
BTC-10JUN26-58000-P,put,62930.97,58000.0,0.005887869062309741,0.045,0.00325
BTC-10JUN26-58500-C,call,62933.82,58500.0,0.005887869062309741,0.045,0.09
BTC-10JUN26-58500-P,put,62935.23,58500.0,0.005887869062309741,0.045,0.0039000000000000003
BTC-10JUN26-59000-C,call,62935.09,59000.0,0.005887869062309741,0.045,0.08299999999999999
BTC-10JUN26-59000-P,put,62938.33,59000.0,0.005887869062309741,0.045,0.00465
BTC-10JUN26-59500-C,call,62938.89,59500.0,0.005887869062309741,0.045,0.07625
BTC-10JUN26-59500-P,put,62943.24,59500.0,0.005887869062309741,0.045,0.0055
BTC-10JUN26-60000-C,call,62944.29,60000.0,0.005887869062309741,0.045,0.06925
BTC-10JUN26-60000-P,put,62943.81,60000.0,0.005887869062309741,0.045,0.00675
BTC-10JUN26-60500-C,call,62945.58,60500.0,0.005887869062309741,0.045,0.04675
BTC-10JUN26-60500-P,put,62945.45,60500.0,0.005887869062309741,0.045,0.008
BTC-10JUN26-61000-C,call,62939.85,61000.0,0.005887869062309741,0.045,0.0405
BTC-10JUN26-61000-P,put,62940.9,61000.0,0.005887869062309741,0.045,0.0095
BTC-10JUN26-61500-C,call,62948.88,61500.0,0.005887869062309741,0.045,0.03425
BTC-10JUN26-61500-P,put,62940.56,61500.0,0.005887869062309741,0.045,0.0115
BTC-10JUN26-62000-C,call,62940.2,62000.0,0.005887869062309741,0.045,0.028999999999999998
BTC-10JUN26-62000-P,put,62939.23,62000.0,0.005887869062309741,0.045,0.014
BTC-10JUN26-62500-C,call,62939.02,62500.0,0.005887869062309741,0.045,0.02375
BTC-10JUN26-62500-P,put,62936.98,62500.0,0.005887869062309741,0.045,0.017
BTC-10JUN26-63000-C,call,62937.99,63000.0,0.005887869062309741,0.045,0.019
BTC-10JUN26-63000-P,put,62941.23,63000.0,0.005887869062309741,0.045,0.02
BTC-10JUN26-63500-C,call,62946.46,63500.0,0.005887869062309741,0.045,0.015
BTC-10JUN26-63500-P,put,62946.85,63500.0,0.005887869062309741,0.045,0.024
BTC-10JUN26-64000-C,call,62949.01,64000.0,0.005887869062309741,0.045,0.0115
BTC-10JUN26-64000-P,put,62949.01,64000.0,0.005887869062309741,0.045,0.028499999999999998
BTC-10JUN26-64500-C,call,62947.78,64500.0,0.005887869062309741,0.045,0.0085
BTC-10JUN26-64500-P,put,62944.42,64500.0,0.005887869062309741,0.045,0.03425
BTC-10JUN26-65000-C,call,62944.42,65000.0,0.005887869062309741,0.045,0.00625
BTC-10JUN26-65000-P,put,62944.52,65000.0,0.005887869062309741,0.045,0.03825
BTC-10JUN26-66000-C,call,62944.52,66000.0,0.005887869062309741,0.045,0.003
BTC-10JUN26-66000-P,put,62943.12,66000.0,0.005887869062309741,0.045,0.0425
BTC-10JUN26-67000-C,call,62942.0,67000.0,0.005887869062309741,0.045,0.00135
BTC-10JUN26-67000-P,put,62942.16,67000.0,0.005887869062309741,0.045,0.06
BTC-10JUN26-68000-C,call,62942.16,68000.0,0.005887869062309741,0.045,0.0006000000000000001
BTC-10JUN26-68000-P,put,62943.63,68000.0,0.005887869062309741,0.045,0.094
BTC-10JUN26-69000-C,call,62943.04,69000.0,0.005887869062309741,0.045,0.00030000000000000003
BTC-10JUN26-69000-P,put,62940.78,69000.0,0.005887869062309741,0.045,0.1055
BTC-11JUN26-55000-C,call,62951.3,55000.0,0.008627595089707,0.045,0.13974999999999999
BTC-11JUN26-55000-P,put,62951.3,55000.0,0.008627595089707,0.045,0.0019
BTC-11JUN26-56000-C,call,62949.16,56000.0,0.008627595089707,0.045,0.12275
BTC-11JUN26-56000-P,put,62949.23,56000.0,0.008627595089707,0.045,0.00265
BTC-11JUN26-57000-C,call,62949.26,57000.0,0.008627595089707,0.045,0.11175
BTC-11JUN26-57000-P,put,62945.87,57000.0,0.008627595089707,0.045,0.00355
BTC-11JUN26-58000-C,call,62941.7,58000.0,0.008627595089707,0.045,0.09725
BTC-11JUN26-58000-P,put,62945.31,58000.0,0.008627595089707,0.045,0.0048000000000000004
BTC-11JUN26-59000-C,call,62945.31,59000.0,0.008627595089707,0.045,0.08374999999999999
BTC-11JUN26-59000-P,put,62951.41,59000.0,0.008627595089707,0.045,0.006500000000000001
BTC-11JUN26-60000-C,call,62952.46,60000.0,0.008627595089707,0.045,0.0705
BTC-11JUN26-60000-P,put,62952.99,60000.0,0.008627595089707,0.045,0.009000000000000001
BTC-11JUN26-60500-C,call,62953.04,60500.0,0.008627595089707,0.045,0.04925
BTC-11JUN26-60500-P,put,62949.58,60500.0,0.008627595089707,0.045,0.010499999999999999
BTC-11JUN26-61000-C,call,62943.25,61000.0,0.008627595089707,0.045,0.043
BTC-11JUN26-61000-P,put,62942.25,61000.0,0.008627595089707,0.045,0.01225
BTC-11JUN26-61500-C,call,62941.78,61500.0,0.008627595089707,0.045,0.0375
BTC-11JUN26-61500-P,put,62941.08,61500.0,0.008627595089707,0.045,0.014499999999999999
BTC-11JUN26-62000-C,call,62939.19,62000.0,0.008627595089707,0.045,0.03175
BTC-11JUN26-62000-P,put,62938.59,62000.0,0.008627595089707,0.045,0.017
BTC-11JUN26-62500-C,call,62938.68,62500.0,0.008627595089707,0.045,0.027
BTC-11JUN26-62500-P,put,62943.97,62500.0,0.008627595089707,0.045,0.02
BTC-11JUN26-63000-C,call,62945.37,63000.0,0.008627595089707,0.045,0.02225
BTC-11JUN26-63000-P,put,62945.37,63000.0,0.008627595089707,0.045,0.023
BTC-11JUN26-63500-C,call,62941.72,63500.0,0.008627595089707,0.045,0.018000000000000002
BTC-11JUN26-63500-P,put,62941.77,63500.0,0.008627595089707,0.045,0.027
BTC-11JUN26-64000-C,call,62944.89,64000.0,0.008627595089707,0.045,0.014499999999999999
BTC-11JUN26-64000-P,put,62943.22,64000.0,0.008627595089707,0.045,0.03175
BTC-11JUN26-64500-C,call,62937.88,64500.0,0.008627595089707,0.045,0.0115
BTC-11JUN26-64500-P,put,62938.38,64500.0,0.008627595089707,0.045,0.037000000000000005
BTC-11JUN26-65000-C,call,62916.63,65000.0,0.008627595089707,0.045,0.009000000000000001
BTC-11JUN26-65000-P,put,62910.45,65000.0,0.008627595089707,0.045,0.042249999999999996
BTC-11JUN26-66000-C,call,62910.22,66000.0,0.008627595089707,0.045,0.0052
BTC-11JUN26-66000-P,put,62914.54,66000.0,0.008627595089707,0.045,0.057999999999999996
BTC-11JUN26-67000-C,call,62910.83,67000.0,0.008627595089707,0.045,0.0028
BTC-11JUN26-67000-P,put,62922.33,67000.0,0.008627595089707,0.045,0.06325
BTC-11JUN26-68000-C,call,62917.4,68000.0,0.008627595089707,0.045,0.00155
BTC-11JUN26-68000-P,put,62919.43,68000.0,0.008627595089707,0.045,0.07899999999999999
BTC-11JUN26-69000-C,call,62919.43,69000.0,0.008627595089707,0.045,0.0008500000000000001
BTC-11JUN26-69000-P,put,62918.19,69000.0,0.008627595089707,0.045,0.11
BTC-11JUN26-70000-C,call,62917.22,70000.0,0.008627595089707,0.045,0.0005
BTC-11JUN26-70000-P,put,62910.26,70000.0,0.008627595089707,0.045,0.11299999999999999
BTC-12JUN26-70000-C,call,62904.41,70000.0,0.011367321117104262,0.045,0.0009500000000000001
BTC-12JUN26-70000-P,put,62905.82,70000.0,0.011367321117104262,0.045,0.11325
